,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,category,RestaurantsTakeOut,DriveThru,RestaurantsAttire,BYOBCorkage,BusinessAcceptsBitcoin,HasTV,RestaurantsGoodForGroups,NoiseLevel,GoodForDancing,Caters,WheelchairAccessible,Smoking,BYOB,WiFi,HappyHour,DogsAllowed,ByAppointmentOnly,BusinessAcceptsCreditCards,GoodForKids,CoatCheck,RestaurantsPriceRange2,BikeParking,Alcohol,RestaurantsDelivery,OutdoorSeating,RestaurantsReservations,RestaurantsTableService,Corkage
47,IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101,34.4144445,-119.6906718,4.0,389,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",True,,'casual',,,False,True,u'average',,True,True,,,u'no',False,True,,True,True,,2,True,u'none',None,True,False,False,
74,SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,34.4087147,-119.6850187,4.0,2404,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife",True,,'casual',,False,False,False,u'average',,False,,,,u'no',False,,False,True,True,False,2,True,'beer_and_wine',True,True,False,,
189,4xhGQGdGqU60BIznBjqnuA,California Tacos and Taproom,956 Embarcadero Del Norte,Isla Vista,CA,93117,34.4115552,-119.8550772,4.0,49,"Mexican, Beer Bar, Bars, Sports Bars, Nightlife, Restaurants, Tacos",True,,,,,True,,,,True,True,u'no',False,u'free',,,,True,,False,,True,u'beer_and_wine',True,True,False,,
199,ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,2733 De La Vina St,Santa Barbara,CA,93105,34.4362361,-119.7261474,4.0,64,"Pizza, Restaurants",True,,'casual',,,True,True,'average',,,,,,,,,,True,True,,2,,u'none',True,False,False,,
213,VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,"7320 Hollister Ave, Ste 1",Goleta,CA,93117,34.4305419,-119.882367,4.0,189,"Burgers, Cafes, Restaurants, Mexican, American (Traditional)",True,False,'casual',,False,True,True,u'average',,True,True,,False,u'no',True,True,,True,True,,1,True,u'beer_and_wine',True,True,True,True,False
242,bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,903 Embarcadero Del Norte,Isla Vista,CA,93117,34.4129345,-119.8555307,3.0,184,"Food, Restaurants, Chinese, Bubble Tea, Vietnamese",True,,u'casual',,,True,True,u'average',,False,,,,u'no',,,,True,True,,1,True,u'none',True,True,False,,
266,xwSWtJcQkzTF6HNm_IMgcg,Rusty's Pizza Parlor,270 Storke Rd,Goleta,CA,93117,34.4290427,-119.8693616,2.5,94,"Chicken Wings, Salad, Restaurants, Pizza, Italian, Sandwiches",True,,'casual','yes_free',,True,True,u'average',,False,True,,,u'no',,False,,True,True,,2,True,u'beer_and_wine',True,False,True,,False
302,-kY_HDP7IMvGl-kBIZVU4A,Dune Coffee Roasters - Anacapa,528 Anacapa St,Santa Barbara,CA,93101,34.4189939,-119.6950684,4.0,320,"Coffee & Tea, Coffee Roasteries, Food",True,,,,,,,u'average',,False,,,,u'free',,,,True,,,2,True,,,None,,,
316,18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,509 Linden Ave,Carpinteria,CA,93013,34.3965102,-119.5216815,4.5,460,"Restaurants, Thai",True,,'casual',,,True,True,u'average',,False,True,,,u'no',,,False,True,True,,2,True,u'beer_and_wine',True,True,True,True,True
392,vLT1KtrA9bWvjFOg-0xVIg,Pieology Pizzeria,"7000 Hollister Ave, Ste F",Goleta,CA,93117,34.4304533,-119.8723449,3.5,131,"Restaurants, Gluten-Free, Pizza, Vegan, Fast Food",True,,'casual',,,True,True,u'quiet',,False,,,,u'no',,,,True,True,,1,True,u'beer_and_wine',True,True,False,False,
